# h/a,X_tt,Y_tt
0.48700000,16.86561193,8.43280597
0.48800000,16.79655975,8.39827988
0.48900000,16.72793316,8.36396658
0.49000000,16.65972498,8.32986249
0.49100000,16.59193425,8.29596713
0.49200000,16.52455518,8.26227759
0.49300000,16.45758681,8.22879340
0.49400000,16.39102581,8.19551290
0.49500000,16.32486419,8.16243210
0.49600000,16.25910576,8.12955288
0.49700000,16.19374146,8.09687073
0.49800000,16.12877274,8.06438637
0.49900000,16.06419187,8.03209593
0.50000000,16.00000027,8.00000014
0.50100000,15.93619146,7.96809573
0.50200000,15.87276574,7.93638287
0.50300000,15.80971344,7.90485672
0.50400000,15.74703929,7.87351964
0.50500000,15.68473701,7.84236850
0.50600000,15.62280473,7.81140237
0.50700000,15.56123421,7.78061711
0.50800000,15.50003111,7.75001556
0.50900000,15.43918725,7.71959362
0.51000000,15.37870190,7.68935095
0.51100000,15.31857019,7.65928509
0.51200000,15.25878733,7.62939366
0.51300000,15.19935774,7.59967887
0.51400000,15.14027461,7.57013730
0.51500000,15.08153523,7.54076761
0.51600000,15.02313695,7.51156848
0.51700000,14.96507517,7.48253758
0.51800000,14.90735025,7.45367512
0.51900000,14.84996054,7.42498027
0.52000000,14.79290057,7.39645029
0.52100000,14.73616496,7.36808248
0.52200000,14.67976074,7.33988037
0.52300000,14.62367873,7.31183937
0.52400000,14.56791742,7.28395871
0.52500000,14.51247436,7.25623718
0.52600000,14.45734255,7.22867128
0.52700000,14.40252881,7.20126441
0.52800000,14.34802524,7.17401262
0.52900000,14.29383221,7.14691610
0.53000000,14.23994467,7.11997233
0.53100000,14.18635857,7.09317928
0.53200000,14.13307695,7.06653847
0.53300000,14.08009488,7.04004744
0.53400000,14.02741098,7.01370549
0.53500000,13.97501872,6.98750936
0.53600000,13.92292195,6.96146097
0.53700000,13.87111673,6.93555836
0.53800000,13.81959921,6.90979960
0.53900000,13.76836976,6.88418488
0.54000000,13.71742046,6.85871023
0.54100000,13.66675667,6.83337833
0.54200000,13.61637298,6.80818649
0.54300000,13.56626733,6.78313367
0.54400000,13.51643528,6.75821764
0.54500000,13.46687883,6.73343941
0.54600000,13.41759595,6.70879797
0.54700000,13.36858147,6.68429074
0.54800000,13.31983814,6.65991907
0.54900000,13.27135620,6.63567810
0.55000000,13.22313998,6.61156999
0.55100000,13.17518750,6.58759375
0.55200000,13.12749534,6.56374767
0.55300000,13.08006161,6.54003081
0.55400000,13.03288147,6.51644074
0.55500000,12.98595906,6.49297953
0.55600000,12.93928953,6.46964477
0.55700000,12.89287109,6.44643554
0.55800000,12.84669903,6.42334951
0.55900000,12.80077738,6.40038869
0.56000000,12.75510147,6.37755074
0.56100000,12.70967096,6.35483548
0.56200000,12.66448128,6.33224064
0.56300000,12.61952933,6.30976466
0.56400000,12.57482041,6.28741020
0.56500000,12.53034723,6.26517361
0.56600000,12.48610951,6.24305476
0.56700000,12.44210696,6.22105348
0.56800000,12.39833251,6.19916625
0.56900000,12.35479264,6.17739632
0.57000000,12.31148035,6.15574017
0.57100000,12.26839668,6.13419834
0.57200000,12.22553611,6.11276805
0.57300000,12.18290100,6.09145050
0.57400000,12.14048979,6.07024489
0.57500000,12.09829960,6.04914980
0.57600000,12.05632891,6.02816445
0.57700000,12.01457366,6.00728683
0.57800000,11.97303617,5.98651809
0.57900000,11.93171493,5.96585746
0.58000000,11.89060718,5.94530359
0.58100000,11.84971146,5.92485573
0.58200000,11.80902387,5.90451193
0.58300000,11.76854786,5.88427393
0.58400000,11.72827956,5.86413978
0.58500000,11.68821754,5.84410877
0.58600000,11.64835801,5.82417900
0.58700000,11.60870435,5.80435218
0.58800000,11.56925280,5.78462640
0.58900000,11.53000314,5.76500157
0.59000000,11.49095167,5.74547583
0.59100000,11.45209707,5.72604853
0.59200000,11.41344031,5.70672016
0.59300000,11.37498005,5.68749002
0.59400000,11.33671269,5.66835634
0.59500000,11.29863583,5.64931791
0.59600000,11.26075378,5.63037689
0.59700000,11.22306079,5.61153040
0.59800000,11.18555779,5.59277890
0.59900000,11.14824133,5.57412067
0.60000000,11.11111126,5.55555563
0.60100000,11.07416633,5.53708317
0.60200000,11.03740640,5.51870320
0.60300000,11.00082809,5.50041405
0.60400000,10.96443233,5.48221617
0.60500000,10.92821476,5.46410738
0.60600000,10.89217839,5.44608920
0.60700000,10.85631994,5.42815997
0.60800000,10.82063823,5.41031912
0.60900000,10.78513007,5.39256504
0.61000000,10.74979739,5.37489869
0.61100000,10.71464003,5.35732001
0.61200000,10.67965382,5.33982691
0.61300000,10.64483865,5.32241932
0.61400000,10.61019144,5.30509572
0.61500000,10.57571602,5.28785801
0.61600000,10.54140734,5.27070367
0.61700000,10.50726532,5.25363266
0.61800000,10.47328885,5.23664443
0.61900000,10.43947594,5.21973797
0.62000000,10.40582742,5.20291371
0.62100000,10.37234223,5.18617112
0.62200000,10.33901744,5.16950872
0.62300000,10.30585110,5.15292555
0.62400000,10.27284684,5.13642342
0.62500000,10.23999991,5.11999996
0.62600000,10.20731116,5.10365558
0.62700000,10.17477865,5.08738932
0.62800000,10.14239867,5.07119934
0.62900000,10.11017568,5.05508784
0.63000000,10.07810509,5.03905254
0.63100000,10.04618859,5.02309429
0.63200000,10.01441991,5.00720995
0.63300000,9.98280428,4.99140214
0.63400000,9.95133810,4.97566905
0.63500000,9.92002042,4.96001021
0.63600000,9.88884947,4.94442473
0.63700000,9.85782517,4.92891258
0.63800000,9.82694746,4.91347373
0.63900000,9.79621456,4.89810728
0.64000000,9.76562559,4.88281279
0.64100000,9.73518046,4.86759023
0.64200000,9.70487415,4.85243707
0.64300000,9.67471157,4.83735579
0.64400000,9.64468937,4.82234468
0.64500000,9.61480747,4.80740374
0.64600000,9.58506178,4.79253089
0.64700000,9.55545630,4.77772815
