# h/a,X_tt,Y_tt
0.29600000,37.17560654,11.60239833
0.29700000,36.93444503,11.53046058
0.29800000,36.69564759,11.45922843
0.29900000,36.45930560,11.38872868
0.30000000,36.22517067,11.31888978
0.30100000,35.99349491,11.24978112
0.30200000,35.76411809,11.18135980
0.30300000,35.53702827,11.11362479
0.30400000,35.31218026,11.04655554
0.30500000,35.08952200,10.98014279
0.30600000,34.86906974,10.91438893
0.30700000,34.65068252,10.84924950
0.30800000,34.43449603,10.78476559
0.30900000,34.22041221,10.72091555
0.31000000,34.00842062,10.65768949
0.31100000,33.79846034,10.59506586
0.31200000,33.59053687,10.53305409
0.31300000,33.38447608,10.47159652
0.31400000,33.18050042,10.41076349
0.31500000,32.97845801,10.35050811
0.31600000,32.77835435,10.29083094
0.31700000,32.58012399,10.23171484
0.31800000,32.38377057,10.17316051
0.31900000,32.18916491,10.11512526
0.32000000,31.99648880,10.05766761
0.32100000,31.80561499,10.00075018
0.32200000,31.61649170,9.94435440
0.32300000,31.42914687,9.88848983
0.32400000,31.24352296,9.83313993
0.32500000,31.05962577,9.77830383
0.32600000,30.87731375,9.72394563
0.32700000,30.69676969,9.67011458
0.32800000,30.51788734,9.61678047
0.32900000,30.34061918,9.56392948
0.33000000,30.16495125,9.51155537
0.33100000,29.99088538,9.45965986
0.33200000,29.81839152,9.40823355
0.33300000,29.64736517,9.35724809
0.33400000,29.47795010,9.30674458
0.33500000,29.31005679,9.25669607
0.33600000,29.14365697,9.20709219
0.33700000,28.97871754,9.15792875
0.33800000,28.81526104,9.10920600
0.33900000,28.65322381,9.06090742
0.34000000,28.49254982,9.01301991
0.34100000,28.33335595,8.96557030
0.34200000,28.17556003,8.91854157
0.34300000,28.01915022,8.87192765
0.34400000,27.86407209,8.82571164
0.34500000,27.71034728,8.77990222
0.34600000,27.55788440,8.73447148
0.34700000,27.40678346,8.68944617
0.34800000,27.25698158,8.64481052
0.34900000,27.10847620,8.60056162
0.35000000,26.96123253,8.55669206
0.35100000,26.81520107,8.51318634
0.35200000,26.67038087,8.47004270
0.35300000,26.52681388,8.42727180
0.35400000,26.38445429,8.38486775
0.35500000,26.24330320,8.34282476
0.35600000,26.10331341,8.30112991
0.35700000,25.96448078,8.25977969
0.35800000,25.82678924,8.21877652
0.35900000,25.69015935,8.17808921
0.36000000,25.55472670,8.13776149
0.36100000,25.42036284,8.09775529
0.36200000,25.28710706,8.05808410
0.36300000,25.15490781,8.01872916
0.36400000,25.02375110,7.97969081
0.36500000,24.89364221,7.94096819
0.36600000,24.76448096,7.90253350
0.36700000,24.63636008,7.86441153
0.36800000,24.50921798,7.82659053
0.36900000,24.38299265,7.78904902
0.37000000,24.25767859,7.75178894
0.37100000,24.13321660,7.71479535
0.37200000,24.00944085,7.67802483
0.37300000,23.88633481,7.64148067
0.37400000,23.76351568,7.60507305
0.37500000,23.63901472,7.56835454
0.37600000,23.48462777,7.52492853
0.37700000,23.36969788,7.49050835
0.37800000,23.25563819,7.45635526
0.37900000,23.14239030,7.42245030
0.38000000,23.03005148,7.38882114
